drug_code,drug_name,atc,drug_form,composition,excipients
31507066,ORAMORPH*SCIR FL 250ML 2MG/ML,N02AA01,SCIROPPO,morfina solfato,Saccarosio#Sciroppo di glucosio#metilparabene#propilparabene#alcool etilico#acqua depurata
41263359,OXICODONE SAND*FL50CPR 80MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,Olio di ricino idrogenato#Copovidone#Behenoyl-macrogolgliceride#Lattosio monoidrato#magnesio stearato (e470b)#amido di mais#silice anidra colloidale#Trigliceridi a catena media#cellulosa microcristallina (e460)#metilidrossipropilcellulosa#Acido stearico#biossido di titanio (e171)#ferro ossido nero (e172)#ossido di alluminio idrato#indigotina (e 132)#giallo chinolina (e 104)
44919367,OSSICODONE BRUNO*50CPR 80MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato,"Sfere di zucchero (saccarosio, amido di mais)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#Magnesio stearato (Ph. Eur.)#silice anidra colloidale#polivinilalcool#talco (e553b)#biossido di titanio (e171)#macrogol 3350"
44919342,OSSICODONE BRUNO*28CPR 80MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato,"Sfere di zucchero (saccarosio, amido di mais)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#Magnesio stearato (Ph. Eur.)#silice anidra colloidale#polivinilalcool#talco (e553b)#biossido di titanio (e171)#macrogol 3350"
42318459,OSSICODONE AU*60CPR 10MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,Lattosio monoidrato#metilidrossipropilcellulosa#povidone k30#Acido stearico#magnesio stearato (e470b)#silice anidra colloidale#biossido di titanio (e171)#metilidrossipropilcellulosa#peg 400#polisorbato 80 (e433)
31507054,ORAMORPH*OS 20FL 1D 5ML 100MG,N02AA01,SOLUZIONE ORALE,morfina solfato,Disodio edetato#acido citrico (e330)#acqua depurata
31507041,ORAMORPH*OS 20FL 1D 5ML 30MG,N02AA01,SOLUZIONE ORALE,morfina solfato,Disodio edetato#acido citrico (e330)#acqua depurata
34435204,OXYCONTIN*56CPR 80MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato,Lattosio monoidrato#povidone#Ammoniometacrilato copolimero in dispersione#Acido sorbico#triacetina (e1518)#alcol stearilico#talco (e553b)#magnesio stearato (e470b)#metilidrossipropilcellulosa#idrossipropilcellulosa (e463)#biossido di titanio (e171)#macrogol#ferro ossido (e172)#indigotina (e 132)
30798060,MORFINA CL MONICO*5F 100MG 10M,N02AA01,SOLUZIONE INIETTABILE,Morfina cloridrato triidrato,acqua per preparazioni iniettabili
41263106,OXICODONE SAND*112CPR 40MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,Olio di ricino idrogenato#Copovidone#Behenoyl-macrogolgliceride#Lattosio monoidrato#magnesio stearato (e470b)#amido di mais#silice anidra colloidale#Trigliceridi a catena media#cellulosa microcristallina (e460)#metilidrossipropilcellulosa#Acido stearico#biossido di titanio (e171)#ferro ossido giallo (e172)
